"ID;SoortMisdrijf;RegioS;Perioden;GeregistreerdeMisdrijven_1"
"84;0.0.0;NL01;2018MM07;66412"
"85;0.0.0;NL01;2018MM08;64731"
"86;0.0.0;NL01;2018MM09;62989"
"87;0.0.0;NL01;2018MM10;69742"
"88;0.0.0;NL01;2018MM11;68584"
"89;0.0.0;NL01;2018MM12;63013"
"91;0.0.0;NL01;2019MM01;67089"
"92;0.0.0;NL01;2019MM02;60914"
"93;0.0.0;NL01;2019MM03;67208"
"94;0.0.0;NL01;2019MM04;65458"
"95;0.0.0;NL01;2019MM05;65801"
"96;0.0.0;NL01;2019MM06;65392"
"97;0.0.0;NL01;2019MM07;69986"
"98;0.0.0;NL01;2019MM08;64029"
"99;0.0.0;NL01;2019MM09;66057"
"100;0.0.0;NL01;2019MM10;72780"
"101;0.0.0;NL01;2019MM11;70216"
"102;0.0.0;NL01;2019MM12;68637"
"104;0.0.0;NL01;2020MM01;73921"
"105;0.0.0;NL01;2020MM02;66038"
"106;0.0.0;NL01;2020MM03;60890"
"107;0.0.0;NL01;2020MM04;56424"
"108;0.0.0;NL01;2020MM05;63993"
"109;0.0.0;NL01;2020MM06;67618"
"110;0.0.0;NL01;2020MM07;70549"
"111;0.0.0;NL01;2020MM08;66813"
"112;0.0.0;NL01;2020MM09;69372"
"113;0.0.0;NL01;2020MM10;69365"
"114;0.0.0;NL01;2020MM11;66805"
"115;0.0.0;NL01;2020MM12;64119"
"117;0.0.0;NL01;2021MM01;59557"
"118;0.0.0;NL01;2021MM02;51487"
"119;0.0.0;NL01;2021MM03;64521"
"120;0.0.0;NL01;2021MM04;56514"
"121;0.0.0;NL01;2021MM05;59690"
"122;0.0.0;NL01;2021MM06;63865"
"123;0.0.0;NL01;2021MM07;64660"
"124;0.0.0;NL01;2021MM08;61140"
"48084;1.1.1;NL01;2018MM07;3122"
"48085;1.1.1;NL01;2018MM08;3585"
"48086;1.1.1;NL01;2018MM09;2846"
"48087;1.1.1;NL01;2018MM10;3445"
"48088;1.1.1;NL01;2018MM11;4169"
"48089;1.1.1;NL01;2018MM12;5164"
"48091;1.1.1;NL01;2019MM01;4037"
"48092;1.1.1;NL01;2019MM02;3229"
"48093;1.1.1;NL01;2019MM03;3015"
"48094;1.1.1;NL01;2019MM04;2766"
"48095;1.1.1;NL01;2019MM05;2714"
"48096;1.1.1;NL01;2019MM06;2546"
"48097;1.1.1;NL01;2019MM07;2806"
"48098;1.1.1;NL01;2019MM08;3384"
"48099;1.1.1;NL01;2019MM09;2703"
"48100;1.1.1;NL01;2019MM10;3499"
"48101;1.1.1;NL01;2019MM11;4062"
"48102;1.1.1;NL01;2019MM12;4714"
"48104;1.1.1;NL01;2020MM01;4077"
"48105;1.1.1;NL01;2020MM02;3418"
"48106;1.1.1;NL01;2020MM03;2280"
"48107;1.1.1;NL01;2020MM04;1388"
"48108;1.1.1;NL01;2020MM05;1360"
"48109;1.1.1;NL01;2020MM06;1941"
"48110;1.1.1;NL01;2020MM07;2634"
"48111;1.1.1;NL01;2020MM08;2616"
"48112;1.1.1;NL01;2020MM09;2438"
"48113;1.1.1;NL01;2020MM10;2554"
"48114;1.1.1;NL01;2020MM11;2792"
"48115;1.1.1;NL01;2020MM12;3059"
"48117;1.1.1;NL01;2021MM01;2171"
"48118;1.1.1;NL01;2021MM02;1391"
"48119;1.1.1;NL01;2021MM03;1591"
"48120;1.1.1;NL01;2021MM04;1324"
"48121;1.1.1;NL01;2021MM05;1612"
"48122;1.1.1;NL01;2021MM06;1699"
"48123;1.1.1;NL01;2021MM07;2042"
"48124;1.1.1;NL01;2021MM08;2295"
"96084;1.1.2;NL01;2018MM07;938"
"96085;1.1.2;NL01;2018MM08;1011"
"96086;1.1.2;NL01;2018MM09;935"
"96087;1.1.2;NL01;2018MM10;1042"
"96088;1.1.2;NL01;2018MM11;1135"
"96089;1.1.2;NL01;2018MM12;985"
"96091;1.1.2;NL01;2019MM01;999"
"96092;1.1.2;NL01;2019MM02;993"
"96093;1.1.2;NL01;2019MM03;1151"
"96094;1.1.2;NL01;2019MM04;1014"
"96095;1.1.2;NL01;2019MM05;1083"
"96096;1.1.2;NL01;2019MM06;984"
"96097;1.1.2;NL01;2019MM07;1045"
"96098;1.1.2;NL01;2019MM08;1044"
"96099;1.1.2;NL01;2019MM09;976"
"96100;1.1.2;NL01;2019MM10;1006"
"96101;1.1.2;NL01;2019MM11;970"
"96102;1.1.2;NL01;2019MM12;984"
"96104;1.1.2;NL01;2020MM01;979"
"96105;1.1.2;NL01;2020MM02;972"
"96106;1.1.2;NL01;2020MM03;1120"
"96107;1.1.2;NL01;2020MM04;1266"
"96108;1.1.2;NL01;2020MM05;1321"
"96109;1.1.2;NL01;2020MM06;1143"
"96110;1.1.2;NL01;2020MM07;1219"
"96111;1.1.2;NL01;2020MM08;1078"
"96112;1.1.2;NL01;2020MM09;1121"
"96113;1.1.2;NL01;2020MM10;1145"
"96114;1.1.2;NL01;2020MM11;1285"
"96115;1.1.2;NL01;2020MM12;1156"
"96117;1.1.2;NL01;2021MM01;1123"
"96118;1.1.2;NL01;2021MM02;895"
"96119;1.1.2;NL01;2021MM03;1155"
"96120;1.1.2;NL01;2021MM04;1093"
"96121;1.1.2;NL01;2021MM05;1072"
"96122;1.1.2;NL01;2021MM06;939"
"96123;1.1.2;NL01;2021MM07;964"
"96124;1.1.2;NL01;2021MM08;1067"
"144084;1.2.1;NL01;2018MM07;3939"
"144085;1.2.1;NL01;2018MM08;4020"
"144086;1.2.1;NL01;2018MM09;4488"
"144087;1.2.1;NL01;2018MM10;5360"
"144088;1.2.1;NL01;2018MM11;4828"
"144089;1.2.1;NL01;2018MM12;4257"
"144091;1.2.1;NL01;2019MM01;4207"
"144092;1.2.1;NL01;2019MM02;3931"
"144093;1.2.1;NL01;2019MM03;4112"
"144094;1.2.1;NL01;2019MM04;4271"
"144095;1.2.1;NL01;2019MM05;3870"
"144096;1.2.1;NL01;2019MM06;3528"
"144097;1.2.1;NL01;2019MM07;3785"
"144098;1.2.1;NL01;2019MM08;3194"
"144099;1.2.1;NL01;2019MM09;3704"
"144100;1.2.1;NL01;2019MM10;4705"
"144101;1.2.1;NL01;2019MM11;4630"
"144102;1.2.1;NL01;2019MM12;4578"
"144104;1.2.1;NL01;2020MM01;4532"
"144105;1.2.1;NL01;2020MM02;4435"
"144106;1.2.1;NL01;2020MM03;3841"
"144107;1.2.1;NL01;2020MM04;3173"
